[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] TLB Hit Rate: 0% | Thrashing: NO
[MEMORY] Flight BA400 working set window: 22
[MEMORY] Flight BA400 TLB miss on page 0
[MEMORY] Flight PVT500 working set window: 22
