[FINANCE] Flight DL300 - Revenue: $1350.5 Cost: $1207.25
[FINANCE] Flight AA100 - Revenue: $3787.65 Cost: $9124.88
[FINANCE] Flight UA200 - Revenue: $4933.15 Cost: $10249
[FINANCE] Flight BA400 - Revenue: $8015.3 Cost: $25040.6
[PERF] Flights: 4 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 4 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 4 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 4 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 4 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 4 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 4 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 4 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[FINANCE] Flight PVT500 - Revenue: $8590.86 Cost: $26269.8
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
[PERF] Flights: 5 | Avg Turnaround: 1.65 min | On-Time: 100.0%
